Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-06 09:30:00-05:00,23.93000030517578,24.049999237060547,23.93000030517578,24.049999237060547,6798,0.0,0.0
2025-01-06 09:32:00-05:00,24.100000381469727,24.100000381469727,24.100000381469727,24.100000381469727,474,0.0,0.0
2025-01-06 09:33:00-05:00,23.979999542236328,24.200000762939453,23.979999542236328,24.200000762939453,2835,0.0,0.0
2025-01-06 09:41:00-05:00,24.280000686645508,24.309999465942383,24.270000457763672,24.309999465942383,1949,0.0,0.0
2025-01-06 09:42:00-05:00,24.229999542236328,24.230499267578125,24.195100784301758,24.195100784301758,4429,0.0,0.0
2025-01-06 09:43:00-05:00,24.229999542236328,24.229999542236328,24.229999542236328,24.229999542236328,1305,0.0,0.0
2025-01-06 09:44:00-05:00,24.1200008392334,24.1200008392334,24.1200008392334,24.1200008392334,136,0.0,0.0
2025-01-06 09:46:00-05:00,24.309999465942383,24.31999969482422,24.309999465942383,24.31999969482422,5001,0.0,0.0
2025-01-06 09:50:00-05:00,24.229999542236328,24.229999542236328,24.229999542236328,24.229999542236328,194,0.0,0.0
2025-01-06 09:55:00-05:00,24.108200073242188,24.108200073242188,24.108200073242188,24.108200073242188,400,0.0,0.0
2025-01-06 09:57:00-05:00,24.18000030517578,24.18000030517578,24.1200008392334,24.1200008392334,850,0.0,0.0
2025-01-06 09:58:00-05:00,24.18000030517578,24.31999969482422,24.18000030517578,24.31999969482422,4443,0.0,0.0
2025-01-06 09:59:00-05:00,24.350000381469727,24.769899368286133,24.350000381469727,24.769899368286133,1224,0.0,0.0
2025-01-06 10:01:00-05:00,24.540000915527344,24.635000228881836,24.540000915527344,24.560100555419922,2108,0.0,0.0
2025-01-06 10:03:00-05:00,24.634300231933594,24.634300231933594,24.634300231933594,24.634300231933594,380,0.0,0.0
2025-01-06 10:07:00-05:00,24.43000030517578,24.520000457763672,24.43000030517578,24.520000457763672,2041,0.0,0.0
2025-01-06 10:08:00-05:00,24.610000610351562,24.674100875854492,24.610000610351562,24.674100875854492,3453,0.0,0.0
