Company Name,BSE Number,Group
Company,Code,Group
Afcom Holdings Ltd.,544224,M
Affle (India) Ltd.,542752,A
Affordable Robotic & Automation Ltd.,541402,B
Agarwal Fortune India Ltd.,530765,X
Agarwal Industrial Corporation Ltd.,531921,B
AGI Greenpac Ltd.,500187,A
AGI Infra Ltd.,539042,B
Agio Paper & Industries Ltd.,516020,XT
Agri-Tech (India) Ltd.,537292,B
Agrimony Commodities Ltd.,537492,MT
Agro Tech Foods Ltd.,500215,B
AGS Transact Technologies Ltd.,543451,B
Ahasolar Technologies Ltd.,543941,M
Ahluwalia Contracts (India) Ltd.,532811,A
Ahmedabad Steelcraft Ltd.,522273,XT
AI Champdany Industries Ltd.,532806,X
AIA Engineering Ltd.,532683,A
AIK Pipes And Polymers Ltd.,544072,M
Aimco Pesticides Ltd.,524288,X
AION-TECH Solutions Ltd.,531439,T
Airan Ltd.,543811,T
Ajanta Pharma Ltd.,532331,A
Ajanta Soya Ltd.,519216,XT
Ajcon Global Services Ltd.,511692,X
Ajel Ltd.,530713,Z
Ajmera Realty & Infra India Ltd.,513349,B
AJR Infra and Tolling Ltd.,532959,Z
Ajwa Fun World & Resorts Ltd.,526628,P
AK Capital Services Ltd.,530499,X
AK Spintex Ltd.,539300,XT
Akar Auto Industries Ltd.,530621,X
Aki India Ltd.,542020,B
Akme Fintrade (India) Ltd.,544200,B
Aksh Optifibre Ltd.,532351,B
Akshar Spintex Ltd.,541303,T
AksharChem (India) Ltd.,524598,B
Akums Drugs & Pharmaceuticals Ltd.,544222,B
Akzo Nobel India Ltd.,500710,A
Alacrity Securities Ltd.,535916,B
Alan Scott Enterprises Ltd.,539115,XT
Alang Industrial Gases Ltd.,531517,XD
Alankit Ltd.,531082,B
Albert David Ltd.,524075,T
Alchemist Corporation Ltd.,531409,XT
Alchemist Ltd.,526707,Z
Alchemist Realty Ltd.,532114,Z
Alembic Ltd.,506235,B
Alembic Pharmaceuticals Ltd.,533573,A
Alexander Stamps and Coin Ltd.,511463,X
Alfa Ica (India) Ltd.,530973,XT
Alfa Transformers Ltd.,517546,X
Alfavision Overseas (India) Ltd.,531156,X
Alfred Herbert (India) Ltd.,505216,X
Algoquant Fintech Ltd.,505725,X
Alicon Castalloy Ltd.,531147,B
Alka Diamond Industries Ltd.,531581,Z
Alka India Ltd.,530889,XT
Alka Securities Ltd.,532166,Z
Alkali Metals Ltd.,533029,B
Alkem Laboratories Ltd.,539523,A
Alkosign Ltd.,543453,M
Alkyl Amines Chemicals Ltd.,506767,A
Allcargo Gati Ltd. 532345 BCompany,Code,Group
Allcargo Logistics Ltd.,532749,A
Allcargo Terminals Ltd.,543954,B
Alldigi Tech Ltd.,532633,B
Alliance Integrated Metaliks Ltd.,534064,XT
Allied Blenders & Distillers Ltd.,544203,B
Allied Computers International (Asia) Ltd.,532919,XT
Allied Digital Services Ltd.,532875,B
Almondz Global Securities Ltd.,531400,T
Alna Trading & Exports Ltd.,506120,P
Alok Industries Ltd.,521070,A
Alpa Laboratories Ltd.,532878,T
Alpha Hi-Tech Fuel Ltd.,531247,XT
Alphageo (India) Ltd.,526397,B
Alphalogic Industries Ltd.,543937,M
Alphalogic Techsys Ltd.,542770,T
Alpine Housing Development Corporation Ltd.,526519,X
Alps Industries Ltd.,530715,T
Alps Motor Finance Ltd.,538423,Z
Alstone Textiles (India) Ltd.,539277,X
Alufluoride Ltd.,524634,X
Amal Ltd.,506597,X
Amalgamated Electricity Company Ltd.,501622,XT
Amanaya Ventures Ltd.,543804,M
Amara Raja Energy & Mobility Ltd.,500008,A
Amarjothi Spinning Mills Ltd.,521097,X
Amarnath Securities Ltd.,538465,XT
Amba Enterprises Ltd.,539196,X
Ambalal Sarabhai Enterprises Ltd.,500009,X
Ambar Protein Industries Ltd.,519471,XT
Ambassador Intra Holdings Ltd.,542524,XT
Amber Enterprises India Ltd.,540902,A
Amber Fabrics Ltd.,536820,Z
Ambica Agarbathies & Aroma Industries Ltd.,532335,B
Ambika Cotton Mills Ltd.,531978,B
Ambition Mica Ltd.,539223,Z
Ambitious Plastomac Company Ltd.,526439,XT
Ambo Agritec Ltd.,543678,MT
Ambuja Cements Ltd.,500425,A
Amco India Ltd.,530133,XT
AMD Industries Ltd.,532828,B
Amerise Biosciences Ltd.,531681,X
Amforge Industries Ltd.,513117,X
Ami Organics Ltd.,543349,A
AMIC Forging Ltd.,544037,M
Amin Tannery Ltd.,541771,X
Amines & Plasticizers Ltd.,506248,B
Amit International Ltd.,531300,Z
Amit Securities Ltd.,531557,Z
AMJ Land Holdings Ltd.,500343,B
Amkay Products Ltd.,544169,M
Ampvolts Ltd.,535719,X
Amrapali Capital & Finance Services Ltd.,536737,MT
Amrapali Fincap Ltd.,539265,MT
Amrapali Industries Ltd.,526241,X
Amraworld Agrico Ltd.,531991,X
Amrit Corp. Ltd.,507525,X
Amrutanjan Health Care Ltd.,590006,B
AMS Polymers Ltd.,540066,XT
Amsons Apparels Ltd.,538861,Z
Anand Projects Ltd.,501630,XT
Anand Rathi Wealth Ltd.,543415,A
Anand Rayons Ltd.,542721,B
Anant Raj Ltd.,515055,A
Andhra Cements Ltd.,532141,B
Andhra Paper Ltd.,502330,B
Andhra Petrochemicals Ltd.,500012,X
Andhra Sugars Ltd.,590062,B
Andrew Yule & Company Ltd.,526173,B
Aneri Fincap Ltd.,531252,Z
ANG Industries Ltd.,530721,Z
ANG Lifesciences India Ltd.,540694,B
Angel Fibers Ltd.,541006,M
Angel One Ltd.,543235,A
Anik Industries Ltd.,519383,T
Anjani Finance Ltd.,531878,X
Anjani Foods Ltd.,511153,X
Anjani Portland Cement Ltd.,518091,B
Anjani Synthetics Ltd.,531223,X
Anka India Ltd.,531673,X
Ankit Metal & Power Ltd.,532870,Z
Ankush Finstock Ltd.,531519,Z
Anmol India Ltd.,542437,B
Anna Infrastructures Ltd.,530799,XT
ANS Industries Ltd.,531406,X
Ansal Buildwell Ltd.,523007,XT
Ansal Housing Ltd.,507828,XT
Ansal Properties & Infrastructure Ltd.,500013,Z
Antarctica Ltd.,526715,B
Antony Waste Handling Cell Ltd.,543254,B
Anuh Pharma Ltd.,506260,B
Anup Malleables Ltd.,506087,P
Anupam Finserv Ltd.,530109,X
Anupam Rasayan India Ltd.,543275,A
Anuroop Packaging Ltd.,542865,T
Apar Industries Ltd.,532259,A
Apcotex Industries Ltd.,523694,B
Apeejay Surrendra Park Hotels Ltd.,544111,B
Apex Capital And Finance Ltd.,541133,XT
Apex Frozen Foods Ltd.,540692,B
Apis India Ltd.,506166,XT
Company,Code,Group
APL Apollo Tubes Ltd.,533758,A
Aplab Ltd.,517096,X
Aplaya Creations Ltd.,511064,Z
APM Industries Ltd.,523537,X
Apollo Finvest (India) Ltd.,512437,X
Apollo Hospitals Enterprise Ltd.,508869,A
Apollo Ingredients Ltd.,503639,XT
Apollo Micro Systems Ltd.,540879,B
Apollo Pipes Ltd.,531761,B
Apollo TriCoat Tubes Ltd.,538566,A
Apollo Tyres Ltd.,500877,A
Apoorva Leasing Finance & Investment Co. Ltd.,539545,X
Apt Packaging Ltd.,506979,XT
Aptech Ltd.,532475,B
Aptus Value Housing Finance India Ltd.,543335,A
Arambhan Hospitality Services Ltd.,539403,M
Aravali Securities & Finance Ltd.,512344,X
ARC Finance Ltd.,540135,XT
Arcee Industries Ltd.,520121,X
Archean Chemical Industries Ltd.,543657,A
Archidply Decor Ltd.,543231,T
Archidply Industries Ltd.,532994,B
Archies Ltd.,532212,T
Archit Organosys Ltd.,524640,X
ARCL Organics Ltd.,543993,XT
Arcotech Ltd.,532914,Z
Ardi Investment & Trading Company Ltd.,504370,XT
Arex Industries Ltd.,526851,X
Arfin India Ltd.,539151,X
Aries Agro Ltd.,532935,B
Arigato Universe Ltd.,530267,XT
Arihant Capital Markets Ltd.,511605,B
Arihant Foundations & Housing Ltd.,531381,XT
Arihant Institute Ltd.,541401,MT
Arihant Superstructures Ltd.,506194,B
Arihants Securities Ltd.,531017,X
Aris International Ltd.,531677,XT
Arkade Developers Ltd.,544261,B
Arman Financial Services Ltd.,531179,B
Arman Holdings Ltd.,538556,X
Arnav Corporation Ltd.,531467,Z
Arnold Holdings Ltd.,537069,XT
Aro Granite Industries Ltd.,513729,B
Aroma Enterprises (India) Ltd.,531560,Z
Arrow Greentech Ltd.,516064,B
Arrowhead Seperation Engineering Ltd.,544025,M
Arshiya Ltd.,506074,T
ARSS Infrastructure Projects Ltd.,533163,T
Artech Power & Trading Ltd.,517481,Z
Artefact Projects Ltd.,531297,X
Artemis Electricals and Projects Ltd.,542670,B
Artemis Medicare Services Ltd.,542919,B
Artificial Electronics Intelligent Material Ltd.,526443,XT
Artson Engineering Ltd.,522134,XT
Aruna Hotels Ltd.,500016,X
Arunis Abode Ltd.,526935,X
Arunjyoti Bio Ventures Ltd.,530881,XT
